"Date","Count"
2017-11-26,0
2017-12-03,28
2017-12-10,0
2017-12-17,0
2017-12-24,45
2017-12-31,32
2018-01-07,55
2018-01-14,29
2018-01-21,21
2018-01-28,39
2018-02-04,28
2018-02-11,0
2018-02-18,51
2018-02-25,59
2018-03-04,19
2018-03-11,46
2018-03-18,99
2018-03-25,29
2018-04-01,27
2018-04-08,27
2018-04-15,68
2018-04-22,40
2018-04-29,52
2018-05-06,55
2018-05-13,57
2018-05-20,57
2018-05-27,47
2018-06-03,50
2018-06-10,63
2018-06-17,61
2018-06-24,23
2018-07-01,25
2018-07-08,33
2018-07-15,0
2018-07-22,33
2018-07-29,0
2018-08-05,33
2018-08-12,0
2018-08-19,37
2018-08-26,31
2018-09-02,37
2018-09-09,25
2018-09-16,36
2018-09-23,16
2018-09-30,62
2018-10-07,0
2018-10-14,79
2018-10-21,0
2018-10-28,38
2018-11-04,0
2018-11-11,54
2018-11-18,58
2018-11-25,34
2018-12-02,38
2018-12-09,38
2018-12-16,0
2018-12-23,54
2018-12-30,36
2019-01-06,100
2019-01-13,35
2019-01-20,0
2019-01-27,0
2019-02-03,14
2019-02-10,0
2019-02-17,36
2019-02-24,40
2019-03-03,0
2019-03-10,0
2019-03-17,54
2019-03-24,0
2019-03-31,17
2019-04-07,23
2019-04-14,80
2019-04-21,0
2019-04-28,0
2019-05-05,0
2019-05-12,0
2019-05-19,29
2019-05-26,0
2019-06-02,36
2019-06-09,43
2019-06-16,0
2019-06-23,54
2019-06-30,0
2019-07-07,93
2019-07-14,39
2019-07-21,39
2019-07-28,25
2019-08-04,29
2019-08-11,44
2019-08-18,22
2019-08-25,33
2019-09-01,0
2019-09-08,19
2019-09-15,41
2019-09-22,0
2019-09-29,44
2019-10-06,0
2019-10-13,48
2019-10-20,22
2019-10-27,45
2019-11-03,20
2019-11-10,19
2019-11-17,30
2019-11-24,28
2019-12-01,0
2019-12-08,39
2019-12-15,0
2019-12-22,0
2019-12-29,53
2020-01-05,0
2020-01-12,26
2020-01-19,32
2020-01-26,38
2020-02-02,70
2020-02-09,43
2020-02-16,39
2020-02-23,25
2020-03-01,0
2020-03-08,0
2020-03-15,36
2020-03-22,30
2020-03-29,34
2020-04-05,79
2020-04-12,0
2020-04-19,14
2020-04-26,0
2020-05-03,29
2020-05-10,14
2020-05-17,27
2020-05-24,0
2020-05-31,15
2020-06-07,0
2020-06-14,27
2020-06-21,14
2020-06-28,30
2020-07-05,0
2020-07-12,29
2020-07-19,23
2020-07-26,27
2020-08-02,0
2020-08-09,21
2020-08-16,0
2020-08-23,43
2020-08-30,0
2020-09-06,0
2020-09-13,0
2020-09-20,15
2020-09-27,0
2020-10-04,72
2020-10-11,18
2020-10-18,0
2020-10-25,0
2020-11-01,58
2020-11-08,16
2020-11-15,0
2020-11-22,0
2020-11-29,25
2020-12-06,0
2020-12-13,28
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,28
2021-01-17,15
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,20
2021-03-07,0
2021-03-14,17
2021-03-21,64
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,14
2021-05-09,0
2021-05-16,20
2021-05-23,34
2021-05-30,0
2021-06-06,30
2021-06-13,0
2021-06-20,17
2021-06-27,19
2021-07-04,16
2021-07-11,25
2021-07-18,0
2021-07-25,15
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,49
2021-09-12,23
2021-09-19,17
2021-09-26,16
2021-10-03,0
2021-10-10,0
2021-10-17,60
2021-10-24,18
2021-10-31,0
2021-11-07,27
2021-11-14,26
2021-11-21,33
2021-11-28,27
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,18
2022-01-09,0
2022-01-16,0
2022-01-23,0
2022-01-30,43
2022-02-06,0
2022-02-13,46
2022-02-20,0
2022-02-27,39
2022-03-06,17
2022-03-13,0
2022-03-20,0
2022-03-27,21
2022-04-03,20
2022-04-10,38
2022-04-17,39
2022-04-24,62
2022-05-01,30
2022-05-08,21
2022-05-15,0
2022-05-22,88
2022-05-29,31
2022-06-05,18
2022-06-12,31
2022-06-19,44
2022-06-26,13
2022-07-03,0
2022-07-10,35
2022-07-17,22
2022-07-24,44
2022-07-31,51
2022-08-07,30
2022-08-14,18
2022-08-21,40
2022-08-28,33
2022-09-04,25
2022-09-11,46
2022-09-18,72
2022-09-25,44
2022-10-02,23
2022-10-09,0
2022-10-16,23
2022-10-23,38
2022-10-30,39
2022-11-06,66
2022-11-13,24
