,Year,Month,Count
0,2017,1,0
1,2017,2,0
2,2017,3,0
3,2017,4,0
4,2017,5,0
5,2017,6,0
6,2017,7,0
7,2017,8,0
8,2017,9,0
9,2017,10,0
10,2017,11,0
11,2017,12,105
12,2018,1,144
13,2018,2,138
14,2018,3,193
15,2018,4,214
16,2018,5,216
17,2018,6,197
18,2018,7,91
19,2018,8,101
20,2018,9,176
21,2018,10,117
22,2018,11,146
23,2018,12,166
24,2019,1,135
25,2019,2,90
26,2019,3,71
27,2019,4,103
28,2019,5,29
29,2019,6,133
30,2019,7,196
31,2019,8,128
32,2019,9,104
33,2019,10,115
34,2019,11,97
35,2019,12,92
36,2020,1,96
37,2020,2,177
38,2020,3,100
39,2020,4,93
40,2020,5,85
41,2020,6,71
42,2020,7,79
43,2020,8,64
44,2020,9,15
45,2020,10,90
46,2020,11,99
47,2020,12,28
48,2021,1,43
49,2021,2,20
50,2021,3,81
51,2021,4,0
52,2021,5,68
53,2021,6,66
54,2021,7,56
55,2021,8,0
56,2021,9,105
57,2021,10,78
58,2021,11,113
59,2021,12,0
60,2022,1,61
61,2022,2,85
62,2022,3,38
63,2022,4,159
64,2022,5,170
65,2022,6,106
66,2022,7,152
67,2022,8,121
68,2022,9,187
69,2022,10,123
70,2022,11,90
71,2022,12,0
