,Year,Month,Count
0,2017,1,0
1,2017,2,0
2,2017,3,0
3,2017,4,0
4,2017,5,0
5,2017,6,0
6,2017,7,0
7,2017,8,0
8,2017,9,0
9,2017,10,0
10,2017,11,39
11,2017,12,85
12,2018,1,145
13,2018,2,133
14,2018,3,134
15,2018,4,145
16,2018,5,243
17,2018,6,175
18,2018,7,126
19,2018,8,137
20,2018,9,133
21,2018,10,134
22,2018,11,87
23,2018,12,143
24,2019,1,170
25,2019,2,125
26,2019,3,171
27,2019,4,111
28,2019,5,152
29,2019,6,203
30,2019,7,183
31,2019,8,120
32,2019,9,161
33,2019,10,149
34,2019,11,127
35,2019,12,137
36,2020,1,87
37,2020,2,108
38,2020,3,183
39,2020,4,71
40,2020,5,100
41,2020,6,61
42,2020,7,53
43,2020,8,82
44,2020,9,76
45,2020,10,44
46,2020,11,75
47,2020,12,45
48,2021,1,91
49,2021,2,76
50,2021,3,72
51,2021,4,50
52,2021,5,68
53,2021,6,73
54,2021,7,100
55,2021,8,122
56,2021,9,84
57,2021,10,105
58,2021,11,103
59,2021,12,149
60,2022,1,102
61,2022,2,112
62,2022,3,133
63,2022,4,119
64,2022,5,188
65,2022,6,65
66,2022,7,130
67,2022,8,92
68,2022,9,89
69,2022,10,163
70,2022,11,46
71,2022,12,0
