,Year,Month,Count
0,2017,1,0
1,2017,2,0
2,2017,3,0
3,2017,4,0
4,2017,5,0
5,2017,6,0
6,2017,7,0
7,2017,8,0
8,2017,9,0
9,2017,10,0
10,2017,11,0
11,2017,12,73
12,2018,1,45
13,2018,2,22
14,2018,3,0
15,2018,4,44
16,2018,5,53
17,2018,6,0
18,2018,7,16
19,2018,8,16
20,2018,9,58
21,2018,10,0
22,2018,11,22
23,2018,12,20
24,2019,1,24
25,2019,2,35
26,2019,3,0
27,2019,4,50
28,2019,5,0
29,2019,6,22
30,2019,7,0
31,2019,8,55
32,2019,9,208
33,2019,10,0
34,2019,11,0
35,2019,12,21
36,2020,1,20
37,2020,2,197
38,2020,3,128
39,2020,4,57
40,2020,5,111
41,2020,6,0
42,2020,7,18
43,2020,8,40
44,2020,9,35
45,2020,10,0
46,2020,11,74
47,2020,12,0
48,2021,1,0
49,2021,2,150
50,2021,3,0
51,2021,4,0
52,2021,5,0
53,2021,6,29
54,2021,7,0
55,2021,8,0
56,2021,9,0
57,2021,10,0
58,2021,11,0
59,2021,12,26
60,2022,1,0
61,2022,2,13
62,2022,3,19
63,2022,4,0
64,2022,5,13
65,2022,6,26
66,2022,7,0
67,2022,8,0
68,2022,9,0
69,2022,10,0
70,2022,11,53
71,2022,12,0
