"Date","Count"
2017-11-26,0
2017-12-03,0
2017-12-10,19
2017-12-17,24
2017-12-24,0
2017-12-31,0
2018-01-07,97
2018-01-14,72
2018-01-21,52
2018-01-28,0
2018-02-04,26
2018-02-11,17
2018-02-18,29
2018-02-25,35
2018-03-04,0
2018-03-11,47
2018-03-18,49
2018-03-25,46
2018-04-01,0
2018-04-08,21
2018-04-15,34
2018-04-22,0
2018-04-29,0
2018-05-06,0
2018-05-13,0
2018-05-20,0
2018-05-27,45
2018-06-03,30
2018-06-10,0
2018-06-17,21
2018-06-24,52
2018-07-01,0
2018-07-08,43
2018-07-15,19
2018-07-22,0
2018-07-29,94
2018-08-05,0
2018-08-12,0
2018-08-19,56
2018-08-26,0
2018-09-02,0
2018-09-09,99
2018-09-16,0
2018-09-23,64
2018-09-30,18
2018-10-07,0
2018-10-14,0
2018-10-21,25
2018-10-28,18
2018-11-04,21
2018-11-11,0
2018-11-18,53
2018-11-25,29
2018-12-02,0
2018-12-09,0
2018-12-16,0
2018-12-23,0
2018-12-30,0
2019-01-06,0
2019-01-13,0
2019-01-20,38
2019-01-27,29
2019-02-03,34
2019-02-10,0
2019-02-17,48
2019-02-24,35
2019-03-03,0
2019-03-10,41
2019-03-17,54
2019-03-24,39
2019-03-31,38
2019-04-07,0
2019-04-14,0
2019-04-21,0
2019-04-28,0
2019-05-05,43
2019-05-12,44
2019-05-19,38
2019-05-26,29
2019-06-02,27
2019-06-09,0
2019-06-16,0
2019-06-23,25
2019-06-30,73
2019-07-07,0
2019-07-14,0
2019-07-21,26
2019-07-28,0
2019-08-04,0
2019-08-11,44
2019-08-18,20
2019-08-25,0
2019-09-01,22
2019-09-08,18
2019-09-15,30
2019-09-22,26
2019-09-29,0
2019-10-06,34
2019-10-13,64
2019-10-20,38
2019-10-27,0
2019-11-03,0
2019-11-10,19
2019-11-17,20
2019-11-24,76
2019-12-01,41
2019-12-08,66
2019-12-15,0
2019-12-22,0
2019-12-29,24
2020-01-05,17
2020-01-12,0
2020-01-19,38
2020-01-26,49
2020-02-02,42
2020-02-09,100
2020-02-16,15
2020-02-23,18
2020-03-01,19
2020-03-08,87
2020-03-15,56
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,77
2020-04-19,30
2020-04-26,0
2020-05-03,28
2020-05-10,28
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,18
2020-06-14,14
2020-06-21,0
2020-06-28,21
2020-07-05,0
2020-07-12,0
2020-07-19,20
2020-07-26,0
2020-08-02,0
2020-08-09,0
2020-08-16,29
2020-08-23,21
2020-08-30,17
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,43
2020-10-04,60
2020-10-11,22
2020-10-18,46
2020-10-25,0
2020-11-01,0
2020-11-08,28
2020-11-15,16
2020-11-22,23
2020-11-29,0
2020-12-06,28
2020-12-13,33
2020-12-20,32
2020-12-27,29
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,19
2021-01-31,0
2021-02-07,0
2021-02-14,18
2021-02-21,0
2021-02-28,19
2021-03-07,0
2021-03-14,20
2021-03-21,17
2021-03-28,0
2021-04-04,0
2021-04-11,15
2021-04-18,15
2021-04-25,0
2021-05-02,34
2021-05-09,0
2021-05-16,0
2021-05-23,19
2021-05-30,52
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,18
2021-07-04,0
2021-07-11,0
2021-07-18,28
2021-07-25,0
2021-08-01,49
2021-08-08,0
2021-08-15,45
2021-08-22,0
2021-08-29,25
2021-09-05,68
2021-09-12,0
2021-09-19,32
2021-09-26,17
2021-10-03,28
2021-10-10,49
2021-10-17,31
2021-10-24,0
2021-10-31,36
2021-11-07,27
2021-11-14,61
2021-11-21,26
2021-11-28,57
2021-12-05,0
2021-12-12,71
2021-12-19,0
2021-12-26,0
2022-01-02,42
2022-01-09,31
2022-01-16,24
2022-01-23,34
2022-01-30,0
2022-02-06,0
2022-02-13,57
2022-02-20,29
2022-02-27,24
2022-03-06,0
2022-03-13,87
2022-03-20,49
2022-03-27,25
2022-04-03,39
2022-04-10,0
2022-04-17,19
2022-04-24,0
2022-05-01,26
2022-05-08,19
2022-05-15,0
2022-05-22,33
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,20
2022-07-03,84
2022-07-10,24
2022-07-17,90
2022-07-24,0
2022-07-31,32
2022-08-07,0
2022-08-14,79
2022-08-21,41
2022-08-28,0
2022-09-04,23
2022-09-11,0
2022-09-18,28
2022-09-25,25
2022-10-02,19
2022-10-09,49
2022-10-16,0
2022-10-23,36
2022-10-30,0
2022-11-06,0
2022-11-13,51
2022-11-20,0
