,Year,Month,Count
0,2017,1,0
1,2017,2,0
2,2017,3,0
3,2017,4,0
4,2017,5,0
5,2017,6,0
6,2017,7,0
7,2017,8,0
8,2017,9,0
9,2017,10,0
10,2017,11,0
11,2017,12,43
12,2018,1,221
13,2018,2,107
14,2018,3,142
15,2018,4,55
16,2018,5,45
17,2018,6,103
18,2018,7,156
19,2018,8,56
20,2018,9,181
21,2018,10,43
22,2018,11,103
23,2018,12,0
24,2019,1,67
25,2019,2,117
26,2019,3,172
27,2019,4,0
28,2019,5,154
29,2019,6,125
30,2019,7,26
31,2019,8,64
32,2019,9,96
33,2019,10,136
34,2019,11,115
35,2019,12,131
36,2020,1,104
37,2020,2,175
38,2020,3,162
39,2020,4,107
40,2020,5,56
41,2020,6,53
42,2020,7,20
43,2020,8,67
44,2020,9,43
45,2020,10,128
46,2020,11,67
47,2020,12,122
48,2021,1,19
49,2021,2,37
50,2021,3,37
51,2021,4,30
52,2021,5,105
53,2021,6,18
54,2021,7,28
55,2021,8,119
56,2021,9,117
57,2021,10,144
58,2021,11,171
59,2021,12,71
60,2022,1,131
61,2022,2,110
62,2022,3,161
63,2022,4,58
64,2022,5,78
65,2022,6,20
66,2022,7,230
67,2022,8,120
68,2022,9,76
69,2022,10,104
70,2022,11,51
71,2022,12,0
