"Date","Count"
2017-11-26,36
2017-12-03,32
2017-12-10,32
2017-12-17,48
2017-12-24,40
2017-12-31,50
2018-01-07,47
2018-01-14,63
2018-01-21,40
2018-01-28,33
2018-02-04,62
2018-02-11,18
2018-02-18,57
2018-02-25,60
2018-03-04,30
2018-03-11,46
2018-03-18,34
2018-03-25,38
2018-04-01,30
2018-04-08,45
2018-04-15,68
2018-04-22,41
2018-04-29,84
2018-05-06,43
2018-05-13,75
2018-05-20,76
2018-05-27,93
2018-06-03,34
2018-06-10,72
2018-06-17,56
2018-06-24,13
2018-07-01,38
2018-07-08,34
2018-07-15,0
2018-07-22,67
2018-07-29,51
2018-08-05,38
2018-08-12,46
2018-08-19,37
2018-08-26,40
2018-09-02,54
2018-09-09,0
2018-09-16,54
2018-09-23,38
2018-09-30,26
2018-10-07,47
2018-10-14,66
2018-10-21,25
2018-10-28,35
2018-11-04,47
2018-11-11,54
2018-11-18,46
2018-11-25,33
2018-12-02,44
2018-12-09,26
2018-12-16,58
2018-12-23,0
2018-12-30,30
2019-01-06,30
2019-01-13,52
2019-01-20,52
2019-01-27,30
2019-02-03,52
2019-02-10,47
2019-02-17,10
2019-02-24,81
2019-03-03,39
2019-03-10,51
2019-03-17,75
2019-03-24,53
2019-03-31,63
2019-04-07,59
2019-04-14,33
2019-04-21,36
2019-04-28,58
2019-05-05,45
2019-05-12,25
2019-05-19,68
2019-05-26,36
2019-06-02,29
2019-06-09,59
2019-06-16,34
2019-06-23,14
2019-06-30,23
2019-07-07,48
2019-07-14,50
2019-07-21,31
2019-07-28,38
2019-08-04,54
2019-08-11,47
2019-08-18,49
2019-08-25,56
2019-09-01,54
2019-09-08,63
2019-09-15,22
2019-09-22,64
2019-09-29,45
2019-10-06,28
2019-10-13,37
2019-10-20,21
2019-10-27,67
2019-11-03,50
2019-11-10,45
2019-11-17,33
2019-11-24,56
2019-12-01,28
2019-12-08,34
2019-12-15,15
2019-12-22,21
2019-12-29,29
2020-01-05,29
2020-01-12,34
2020-01-19,27
2020-01-26,50
2020-02-02,29
2020-02-09,42
2020-02-16,54
2020-02-23,38
2020-03-01,71
2020-03-08,88
2020-03-15,50
2020-03-22,54
2020-03-29,43
2020-04-05,13
2020-04-12,19
2020-04-19,29
2020-04-26,31
2020-05-03,26
2020-05-10,29
2020-05-17,34
2020-05-24,30
2020-05-31,33
2020-06-07,49
2020-06-14,36
2020-06-21,47
2020-06-28,34
2020-07-05,70
2020-07-12,48
2020-07-19,81
2020-07-26,48
2020-08-02,100
2020-08-09,43
2020-08-16,28
2020-08-23,40
2020-08-30,31
2020-09-06,44
2020-09-13,45
2020-09-20,35
2020-09-27,40
2020-10-04,50
2020-10-11,43
2020-10-18,55
2020-10-25,22
2020-11-01,32
2020-11-08,31
2020-11-15,56
2020-11-22,0
2020-11-29,26
2020-12-06,12
2020-12-13,42
2020-12-20,14
2020-12-27,39
2021-01-03,22
2021-01-10,80
2021-01-17,33
2021-01-24,33
2021-01-31,49
2021-02-07,42
2021-02-14,20
2021-02-21,54
2021-02-28,17
2021-03-07,38
2021-03-14,43
2021-03-21,55
2021-03-28,26
2021-04-04,44
2021-04-11,43
2021-04-18,43
2021-04-25,68
2021-05-02,39
2021-05-09,41
2021-05-16,40
2021-05-23,41
2021-05-30,29
2021-06-06,67
2021-06-13,81
2021-06-20,64
2021-06-27,30
2021-07-04,31
2021-07-11,33
2021-07-18,42
2021-07-25,34
2021-08-01,39
2021-08-08,44
2021-08-15,49
2021-08-22,24
2021-08-29,37
2021-09-05,0
2021-09-12,25
2021-09-19,17
2021-09-26,0
2021-10-03,48
2021-10-10,39
2021-10-17,48
2021-10-24,42
2021-10-31,28
2021-11-07,34
2021-11-14,26
2021-11-21,13
2021-11-28,31
2021-12-05,13
2021-12-12,30
2021-12-19,53
2021-12-26,18
2022-01-02,66
2022-01-09,55
2022-01-16,65
2022-01-23,20
2022-01-30,50
2022-02-06,27
2022-02-13,67
2022-02-20,23
2022-02-27,36
2022-03-06,30
2022-03-13,63
2022-03-20,45
2022-03-27,49
2022-04-03,46
2022-04-10,42
2022-04-17,47
2022-04-24,46
2022-05-01,55
2022-05-08,45
2022-05-15,36
2022-05-22,54
2022-05-29,53
2022-06-05,64
2022-06-12,68
2022-06-19,43
2022-06-26,40
2022-07-03,59
2022-07-10,57
2022-07-17,38
2022-07-24,38
2022-07-31,37
2022-08-07,72
2022-08-14,55
2022-08-21,36
2022-08-28,41
2022-09-04,38
2022-09-11,49
2022-09-18,31
2022-09-25,18
2022-10-02,34
2022-10-09,41
2022-10-16,64
2022-10-23,38
2022-10-30,62
2022-11-06,24
2022-11-13,71
