,Year,Month,Count
0,2017,1,0
1,2017,2,0
2,2017,3,0
3,2017,4,0
4,2017,5,0
5,2017,6,0
6,2017,7,0
7,2017,8,0
8,2017,9,0
9,2017,10,0
10,2017,11,36
11,2017,12,202
12,2018,1,183
13,2018,2,197
14,2018,3,148
15,2018,4,268
16,2018,5,287
17,2018,6,175
18,2018,7,190
19,2018,8,161
20,2018,9,172
21,2018,10,173
22,2018,11,180
23,2018,12,158
24,2019,1,164
25,2019,2,190
26,2019,3,281
27,2019,4,186
28,2019,5,174
29,2019,6,159
30,2019,7,167
31,2019,8,206
32,2019,9,248
33,2019,10,153
34,2019,11,184
35,2019,12,127
36,2020,1,140
37,2020,2,163
38,2020,3,306
39,2020,4,92
40,2020,5,152
41,2020,6,166
42,2020,7,247
43,2020,8,242
44,2020,9,164
45,2020,10,170
46,2020,11,145
47,2020,12,107
48,2021,1,217
49,2021,2,133
50,2021,3,162
51,2021,4,198
52,2021,5,190
53,2021,6,242
54,2021,7,140
55,2021,8,193
56,2021,9,42
57,2021,10,205
58,2021,11,104
59,2021,12,114
60,2022,1,256
61,2022,2,153
62,2022,3,187
63,2022,4,181
64,2022,5,243
65,2022,6,215
66,2022,7,229
67,2022,8,204
68,2022,9,136
69,2022,10,239
70,2022,11,95
71,2022,12,0
