"Date","Count"
2017-11-26,4
2017-12-03,9
2017-12-10,4
2017-12-17,6
2017-12-24,13
2017-12-31,5
2018-01-07,4
2018-01-14,5
2018-01-21,5
2018-01-28,7
2018-02-04,0
2018-02-11,3
2018-02-18,0
2018-02-25,0
2018-03-04,4
2018-03-11,4
2018-03-18,0
2018-03-25,4
2018-04-01,0
2018-04-08,0
2018-04-15,4
2018-04-22,3
2018-04-29,9
2018-05-06,3
2018-05-13,8
2018-05-20,0
2018-05-27,8
2018-06-03,7
2018-06-10,7
2018-06-17,6
2018-06-24,26
2018-07-01,0
2018-07-08,9
2018-07-15,6
2018-07-22,0
2018-07-29,9
2018-08-05,3
2018-08-12,9
2018-08-19,7
2018-08-26,6
2018-09-02,4
2018-09-09,0
2018-09-16,6
2018-09-23,6
2018-09-30,4
2018-10-07,4
2018-10-14,0
2018-10-21,6
2018-10-28,4
2018-11-04,3
2018-11-11,3
2018-11-18,5
2018-11-25,3
2018-12-02,2
2018-12-09,4
2018-12-16,7
2018-12-23,6
2018-12-30,5
2019-01-06,4
2019-01-13,3
2019-01-20,3
2019-01-27,0
2019-02-03,0
2019-02-10,6
2019-02-17,10
2019-02-24,4
2019-03-03,3
2019-03-10,5
2019-03-17,2
2019-03-24,10
2019-03-31,8
2019-04-07,0
2019-04-14,9
2019-04-21,6
2019-04-28,7
2019-05-05,7
2019-05-12,6
2019-05-19,10
2019-05-26,11
2019-06-02,3
2019-06-09,0
2019-06-16,7
2019-06-23,5
2019-06-30,8
2019-07-07,9
2019-07-14,7
2019-07-21,3
2019-07-28,6
2019-08-04,8
2019-08-11,5
2019-08-18,3
2019-08-25,5
2019-09-01,4
2019-09-08,6
2019-09-15,8
2019-09-22,5
2019-09-29,0
2019-10-06,8
2019-10-13,5
2019-10-20,0
2019-10-27,7
2019-11-03,6
2019-11-10,11
2019-11-17,4
2019-11-24,0
2019-12-01,0
2019-12-08,3
2019-12-15,3
2019-12-22,8
2019-12-29,4
2020-01-05,4
2020-01-12,10
2020-01-19,10
2020-01-26,4
2020-02-02,5
2020-02-09,7
2020-02-16,6
2020-02-23,6
2020-03-01,5
2020-03-08,4
2020-03-15,5
2020-03-22,5
2020-03-29,0
2020-04-05,3
2020-04-12,0
2020-04-19,4
2020-04-26,5
2020-05-03,4
2020-05-10,6
2020-05-17,4
2020-05-24,0
2020-05-31,3
2020-06-07,2
2020-06-14,0
2020-06-21,2
2020-06-28,0
2020-07-05,4
2020-07-12,8
2020-07-19,2
2020-07-26,0
2020-08-02,3
2020-08-09,0
2020-08-16,6
2020-08-23,4
2020-08-30,4
2020-09-06,3
2020-09-13,6
2020-09-20,2
2020-09-27,0
2020-10-04,10
2020-10-11,0
2020-10-18,10
2020-10-25,3
2020-11-01,6
2020-11-08,5
2020-11-15,4
2020-11-22,8
2020-11-29,0
2020-12-06,2
2020-12-13,5
2020-12-20,3
2020-12-27,4
2021-01-03,0
2021-01-10,0
2021-01-17,3
2021-01-24,2
2021-01-31,0
2021-02-07,4
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,8
2021-03-14,0
2021-03-21,0
2021-03-28,6
2021-04-04,8
2021-04-11,5
2021-04-18,5
2021-04-25,6
2021-05-02,0
2021-05-09,6
2021-05-16,2
2021-05-23,0
2021-05-30,4
2021-06-06,0
2021-06-13,4
2021-06-20,0
2021-06-27,4
2021-07-04,6
2021-07-11,4
2021-07-18,7
2021-07-25,0
2021-08-01,4
2021-08-08,0
2021-08-15,6
2021-08-22,4
2021-08-29,10
2021-09-05,0
2021-09-12,0
2021-09-19,6
2021-09-26,4
2021-10-03,4
2021-10-10,6
2021-10-17,6
2021-10-24,4
2021-10-31,8
2021-11-07,3
2021-11-14,0
2021-11-21,5
2021-11-28,4
2021-12-05,12
2021-12-12,0
2021-12-19,6
2021-12-26,9
2022-01-02,7
2022-01-09,7
2022-01-16,4
2022-01-23,0
2022-01-30,3
2022-02-06,4
2022-02-13,4
2022-02-20,3
2022-02-27,3
2022-03-06,6
2022-03-13,5
2022-03-20,6
2022-03-27,9
2022-04-03,1
2022-04-10,3
2022-04-17,3
2022-04-24,5
2022-05-01,6
2022-05-08,3
2022-05-15,1
2022-05-22,5
2022-05-29,2
2022-06-05,5
2022-06-12,9
2022-06-19,12
2022-06-26,100
2022-07-03,4
2022-07-10,40
2022-07-17,5
2022-07-24,5
2022-07-31,6
2022-08-07,8
2022-08-14,4
2022-08-21,3
2022-08-28,6
2022-09-04,5
2022-09-11,4
2022-09-18,7
2022-09-25,9
2022-10-02,2
2022-10-09,5
2022-10-16,11
2022-10-23,14
2022-10-30,12
2022-11-06,2
2022-11-13,2
