,Year,Month,Count
0,2017,1,0
1,2017,2,0
2,2017,3,0
3,2017,4,0
4,2017,5,0
5,2017,6,0
6,2017,7,0
7,2017,8,0
8,2017,9,0
9,2017,10,0
10,2017,11,4
11,2017,12,37
12,2018,1,21
13,2018,2,3
14,2018,3,12
15,2018,4,16
16,2018,5,19
17,2018,6,46
18,2018,7,24
19,2018,8,25
20,2018,9,20
21,2018,10,14
22,2018,11,14
23,2018,12,24
24,2019,1,10
25,2019,2,20
26,2019,3,28
27,2019,4,22
28,2019,5,34
29,2019,6,23
30,2019,7,25
31,2019,8,21
32,2019,9,23
33,2019,10,20
34,2019,11,21
35,2019,12,18
36,2020,1,28
37,2020,2,24
38,2020,3,19
39,2020,4,12
40,2020,5,17
41,2020,6,4
42,2020,7,14
43,2020,8,17
44,2020,9,11
45,2020,10,23
46,2020,11,23
47,2020,12,14
48,2021,1,5
49,2021,2,4
50,2021,3,14
51,2021,4,24
52,2021,5,12
53,2021,6,8
54,2021,7,17
55,2021,8,24
56,2021,9,10
57,2021,10,28
58,2021,11,12
59,2021,12,27
60,2022,1,21
61,2022,2,14
62,2022,3,26
63,2022,4,12
64,2022,5,17
65,2022,6,126
66,2022,7,60
67,2022,8,21
68,2022,9,25
69,2022,10,44
70,2022,11,4
71,2022,12,0
