"Date","Count"
2017-11-26,26
2017-12-03,0
2017-12-10,15
2017-12-17,18
2017-12-24,0
2017-12-31,0
2018-01-07,0
2018-01-14,0
2018-01-21,31
2018-01-28,15
2018-02-04,0
2018-02-11,0
2018-02-18,65
2018-02-25,0
2018-03-04,13
2018-03-11,30
2018-03-18,0
2018-03-25,22
2018-04-01,27
2018-04-08,19
2018-04-15,0
2018-04-22,0
2018-04-29,0
2018-05-06,29
2018-05-13,0
2018-05-20,13
2018-05-27,17
2018-06-03,21
2018-06-10,23
2018-06-17,0
2018-06-24,21
2018-07-01,27
2018-07-08,0
2018-07-15,40
2018-07-22,0
2018-07-29,14
2018-08-05,0
2018-08-12,28
2018-08-19,39
2018-08-26,41
2018-09-02,0
2018-09-09,0
2018-09-16,29
2018-09-23,34
2018-09-30,0
2018-10-07,15
2018-10-14,0
2018-10-21,0
2018-10-28,15
2018-11-04,47
2018-11-11,0
2018-11-18,0
2018-11-25,0
2018-12-02,38
2018-12-09,21
2018-12-16,0
2018-12-23,0
2018-12-30,18
2019-01-06,14
2019-01-13,28
2019-01-20,24
2019-01-27,0
2019-02-03,20
2019-02-10,24
2019-02-17,0
2019-02-24,17
2019-03-03,0
2019-03-10,0
2019-03-17,0
2019-03-24,0
2019-03-31,22
2019-04-07,0
2019-04-14,17
2019-04-21,0
2019-04-28,17
2019-05-05,0
2019-05-12,0
2019-05-19,46
2019-05-26,25
2019-06-02,21
2019-06-09,0
2019-06-16,0
2019-06-23,0
2019-06-30,48
2019-07-07,0
2019-07-14,25
2019-07-21,21
2019-07-28,34
2019-08-04,39
2019-08-11,0
2019-08-18,0
2019-08-25,21
2019-09-01,17
2019-09-08,36
2019-09-15,18
2019-09-22,20
2019-09-29,12
2019-10-06,20
2019-10-13,26
2019-10-20,0
2019-10-27,14
2019-11-03,0
2019-11-10,0
2019-11-17,20
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,17
2019-12-22,36
2019-12-29,32
2020-01-05,0
2020-01-12,12
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,15
2020-02-16,11
2020-02-23,27
2020-03-01,21
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,13
2020-04-12,0
2020-04-19,14
2020-04-26,21
2020-05-03,0
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,14
2020-06-07,19
2020-06-14,13
2020-06-21,0
2020-06-28,22
2020-07-05,30
2020-07-12,0
2020-07-19,0
2020-07-26,31
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,0
2020-08-30,0
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,49
2020-12-20,29
2020-12-27,37
2021-01-03,0
2021-01-10,25
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,97
2021-02-28,16
2021-03-07,63
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,22
2021-04-25,21
2021-05-02,0
2021-05-09,0
2021-05-16,27
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,14
2021-07-04,38
2021-07-11,0
2021-07-18,0
2021-07-25,24
2021-08-01,0
2021-08-08,0
2021-08-15,14
2021-08-22,0
2021-08-29,37
2021-09-05,0
2021-09-12,19
2021-09-19,25
2021-09-26,0
2021-10-03,0
2021-10-10,16
2021-10-17,0
2021-10-24,25
2021-10-31,35
2021-11-07,0
2021-11-14,100
2021-11-21,0
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,0
2022-01-30,0
2022-02-06,0
2022-02-13,22
2022-02-20,14
2022-02-27,19
2022-03-06,11
2022-03-13,30
2022-03-20,0
2022-03-27,0
2022-04-03,17
2022-04-10,0
2022-04-17,0
2022-04-24,0
2022-05-01,8
2022-05-08,9
2022-05-15,18
2022-05-22,17
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,29
2022-06-26,0
2022-07-03,19
2022-07-10,21
2022-07-17,30
2022-07-24,67
2022-07-31,0
2022-08-07,0
2022-08-14,15
2022-08-21,12
2022-08-28,13
2022-09-04,17
2022-09-11,0
2022-09-18,0
2022-09-25,13
2022-10-02,0
2022-10-09,18
2022-10-16,34
2022-10-23,24
2022-10-30,0
2022-11-06,0
2022-11-13,0
