,Year,Month,Count
0,2017,1,0
1,2017,2,0
2,2017,3,0
3,2017,4,0
4,2017,5,0
5,2017,6,0
6,2017,7,0
7,2017,8,0
8,2017,9,0
9,2017,10,0
10,2017,11,26
11,2017,12,33
12,2018,1,46
13,2018,2,65
14,2018,3,65
15,2018,4,46
16,2018,5,59
17,2018,6,65
18,2018,7,81
19,2018,8,108
20,2018,9,63
21,2018,10,30
22,2018,11,47
23,2018,12,77
24,2019,1,66
25,2019,2,61
26,2019,3,22
27,2019,4,34
28,2019,5,71
29,2019,6,69
30,2019,7,80
31,2019,8,60
32,2019,9,103
33,2019,10,60
34,2019,11,20
35,2019,12,85
36,2020,1,12
37,2020,2,53
38,2020,3,21
39,2020,4,48
40,2020,5,14
41,2020,6,54
42,2020,7,61
43,2020,8,0
44,2020,9,0
45,2020,10,0
46,2020,11,0
47,2020,12,115
48,2021,1,25
49,2021,2,113
50,2021,3,63
51,2021,4,43
52,2021,5,27
53,2021,6,14
54,2021,7,62
55,2021,8,51
56,2021,9,44
57,2021,10,76
58,2021,11,100
59,2021,12,0
60,2022,1,0
61,2022,2,55
62,2022,3,41
63,2022,4,17
64,2022,5,52
65,2022,6,29
66,2022,7,137
67,2022,8,40
68,2022,9,30
69,2022,10,76
70,2022,11,0
71,2022,12,0
