"Date","Count"
2017-11-26,34
2017-12-03,0
2017-12-10,0
2017-12-17,0
2017-12-24,18
2017-12-31,49
2018-01-07,33
2018-01-14,0
2018-01-21,30
2018-01-28,38
2018-02-04,47
2018-02-11,26
2018-02-18,37
2018-02-25,0
2018-03-04,0
2018-03-11,0
2018-03-18,52
2018-03-25,29
2018-04-01,26
2018-04-08,24
2018-04-15,22
2018-04-22,39
2018-04-29,0
2018-05-06,15
2018-05-13,0
2018-05-20,0
2018-05-27,37
2018-06-03,32
2018-06-10,0
2018-06-17,0
2018-06-24,31
2018-07-01,39
2018-07-08,29
2018-07-15,0
2018-07-22,48
2018-07-29,39
2018-08-05,35
2018-08-12,100
2018-08-19,52
2018-08-26,31
2018-09-02,0
2018-09-09,61
2018-09-16,0
2018-09-23,0
2018-09-30,0
2018-10-07,55
2018-10-14,0
2018-10-21,61
2018-10-28,0
2018-11-04,0
2018-11-11,37
2018-11-18,0
2018-11-25,25
2018-12-02,0
2018-12-09,0
2018-12-16,0
2018-12-23,0
2018-12-30,31
2019-01-06,35
2019-01-13,0
2019-01-20,30
2019-01-27,61
2019-02-03,37
2019-02-10,0
2019-02-17,49
2019-02-24,14
2019-03-03,41
2019-03-10,0
2019-03-17,52
2019-03-24,16
2019-03-31,19
2019-04-07,22
2019-04-14,42
2019-04-21,31
2019-04-28,0
2019-05-05,25
2019-05-12,42
2019-05-19,44
2019-05-26,27
2019-06-02,0
2019-06-09,20
2019-06-16,28
2019-06-23,34
2019-06-30,26
2019-07-07,39
2019-07-14,15
2019-07-21,22
2019-07-28,42
2019-08-04,36
2019-08-11,55
2019-08-18,22
2019-08-25,71
2019-09-01,14
2019-09-08,20
2019-09-15,41
2019-09-22,13
2019-09-29,17
2019-10-06,17
2019-10-13,26
2019-10-20,27
2019-10-27,0
2019-11-03,0
2019-11-10,34
2019-11-17,53
2019-11-24,31
2019-12-01,23
2019-12-08,0
2019-12-15,0
2019-12-22,20
2019-12-29,15
2020-01-05,57
2020-01-12,33
2020-01-19,28
2020-01-26,14
2020-02-02,52
2020-02-09,22
2020-02-16,23
2020-02-23,0
2020-03-01,30
2020-03-08,0
2020-03-15,15
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,17
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,12
2020-05-24,0
2020-05-31,0
2020-06-07,29
2020-06-14,14
2020-06-21,0
2020-06-28,29
2020-07-05,21
2020-07-12,0
2020-07-19,19
2020-07-26,0
2020-08-02,0
2020-08-09,0
2020-08-16,24
2020-08-23,24
2020-08-30,15
2020-09-06,23
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,16
2020-10-11,39
2020-10-18,39
2020-10-25,0
2020-11-01,20
2020-11-08,0
2020-11-15,47
2020-11-22,0
2020-11-29,20
2020-12-06,0
2020-12-13,29
2020-12-20,24
2020-12-27,31
2021-01-03,0
2021-01-10,0
2021-01-17,19
2021-01-24,44
2021-01-31,13
2021-02-07,36
2021-02-14,0
2021-02-21,0
2021-02-28,21
2021-03-07,0
2021-03-14,15
2021-03-21,0
2021-03-28,0
2021-04-04,37
2021-04-11,0
2021-04-18,33
2021-04-25,14
2021-05-02,0
2021-05-09,36
2021-05-16,0
2021-05-23,0
2021-05-30,31
2021-06-06,19
2021-06-13,19
2021-06-20,0
2021-06-27,0
2021-07-04,27
2021-07-11,27
2021-07-18,0
2021-07-25,0
2021-08-01,58
2021-08-08,34
2021-08-15,16
2021-08-22,34
2021-08-29,0
2021-09-05,0
2021-09-12,43
2021-09-19,0
2021-09-26,45
2021-10-03,23
2021-10-10,0
2021-10-17,18
2021-10-24,48
2021-10-31,0
2021-11-07,0
2021-11-14,50
2021-11-21,0
2021-11-28,25
2021-12-05,0
2021-12-12,0
2021-12-19,20
2021-12-26,32
2022-01-02,22
2022-01-09,33
2022-01-16,33
2022-01-23,44
2022-01-30,32
2022-02-06,0
2022-02-13,0
2022-02-20,42
2022-02-27,16
2022-03-06,13
2022-03-13,19
2022-03-20,20
2022-03-27,40
2022-04-03,31
2022-04-10,20
2022-04-17,44
2022-04-24,21
2022-05-01,0
2022-05-08,14
2022-05-15,14
2022-05-22,0
2022-05-29,0
2022-06-05,29
2022-06-12,35
2022-06-19,0
2022-06-26,26
2022-07-03,0
2022-07-10,89
2022-07-17,0
2022-07-24,27
2022-07-31,39
2022-08-07,0
2022-08-14,0
2022-08-21,0
2022-08-28,20
2022-09-04,35
2022-09-11,21
2022-09-18,17
2022-09-25,16
2022-10-02,0
2022-10-09,21
2022-10-16,28
2022-10-23,0
2022-10-30,0
2022-11-06,31
2022-11-13,37
