,Year,Month,Count
0,2017,1,0
1,2017,2,0
2,2017,3,0
3,2017,4,0
4,2017,5,0
5,2017,6,0
6,2017,7,0
7,2017,8,0
8,2017,9,0
9,2017,10,0
10,2017,11,27
11,2017,12,139
12,2018,1,122
13,2018,2,146
14,2018,3,131
15,2018,4,184
16,2018,5,168
17,2018,6,162
18,2018,7,248
19,2018,8,195
20,2018,9,164
21,2018,10,124
22,2018,11,132
23,2018,12,157
24,2019,1,160
25,2019,2,145
26,2019,3,176
27,2019,4,176
28,2019,5,162
29,2019,6,233
30,2019,7,208
31,2019,8,226
32,2019,9,182
33,2019,10,126
34,2019,11,119
35,2019,12,172
36,2020,1,143
37,2020,2,163
38,2020,3,140
39,2020,4,103
40,2020,5,187
41,2020,6,148
42,2020,7,192
43,2020,8,212
44,2020,9,135
45,2020,10,106
46,2020,11,145
47,2020,12,89
48,2021,1,138
49,2021,2,111
50,2021,3,142
51,2021,4,136
52,2021,5,225
53,2021,6,167
54,2021,7,246
55,2021,8,205
56,2021,9,135
57,2021,10,144
58,2021,11,112
59,2021,12,100
60,2022,1,185
61,2022,2,137
62,2022,3,180
63,2022,4,160
64,2022,5,213
65,2022,6,166
66,2022,7,261
67,2022,8,181
68,2022,9,150
69,2022,10,161
70,2022,11,152
71,2022,12,0
