"Date","Count"
2017-11-26,60
2017-12-03,45
2017-12-10,52
2017-12-17,48
2017-12-24,66
2017-12-31,67
2018-01-07,76
2018-01-14,86
2018-01-21,58
2018-01-28,68
2018-02-04,49
2018-02-11,68
2018-02-18,63
2018-02-25,89
2018-03-04,74
2018-03-11,96
2018-03-18,92
2018-03-25,81
2018-04-01,88
2018-04-08,69
2018-04-15,69
2018-04-22,64
2018-04-29,81
2018-05-06,74
2018-05-13,53
2018-05-20,93
2018-05-27,74
2018-06-03,84
2018-06-10,62
2018-06-17,63
2018-06-24,61
2018-07-01,57
2018-07-08,87
2018-07-15,86
2018-07-22,65
2018-07-29,64
2018-08-05,75
2018-08-12,80
2018-08-19,77
2018-08-26,60
2018-09-02,45
2018-09-09,46
2018-09-16,59
2018-09-23,53
2018-09-30,55
2018-10-07,57
2018-10-14,55
2018-10-21,51
2018-10-28,53
2018-11-04,55
2018-11-11,52
2018-11-18,37
2018-11-25,53
2018-12-02,62
2018-12-09,52
2018-12-16,57
2018-12-23,66
2018-12-30,64
2019-01-06,57
2019-01-13,55
2019-01-20,61
2019-01-27,54
2019-02-03,76
2019-02-10,79
2019-02-17,84
2019-02-24,53
2019-03-03,62
2019-03-10,82
2019-03-17,100
2019-03-24,65
2019-03-31,64
2019-04-07,66
2019-04-14,67
2019-04-21,59
2019-04-28,76
2019-05-05,65
2019-05-12,86
2019-05-19,68
2019-05-26,78
2019-06-02,60
2019-06-09,56
2019-06-16,52
2019-06-23,60
2019-06-30,70
2019-07-07,64
2019-07-14,77
2019-07-21,62
2019-07-28,66
2019-08-04,61
2019-08-11,77
2019-08-18,64
2019-08-25,59
2019-09-01,72
2019-09-08,60
2019-09-15,67
2019-09-22,47
2019-09-29,52
2019-10-06,58
2019-10-13,24
2019-10-20,62
2019-10-27,53
2019-11-03,71
2019-11-10,58
2019-11-17,60
2019-11-24,54
2019-12-01,51
2019-12-08,53
2019-12-15,54
2019-12-22,72
2019-12-29,62
2020-01-05,76
2020-01-12,60
2020-01-19,70
2020-01-26,64
2020-02-02,64
2020-02-09,69
2020-02-16,61
2020-02-23,50
2020-03-01,49
2020-03-08,70
2020-03-15,61
2020-03-22,41
2020-03-29,33
2020-04-05,29
2020-04-12,29
2020-04-19,36
2020-04-26,40
2020-05-03,30
2020-05-10,46
2020-05-17,37
2020-05-24,21
2020-05-31,24
2020-06-07,32
2020-06-14,36
2020-06-21,42
2020-06-28,35
2020-07-05,27
2020-07-12,37
2020-07-19,42
2020-07-26,41
2020-08-02,34
2020-08-09,36
2020-08-16,35
2020-08-23,41
2020-08-30,36
2020-09-06,41
2020-09-13,37
2020-09-20,35
2020-09-27,27
2020-10-04,26
2020-10-11,32
2020-10-18,21
2020-10-25,34
2020-11-01,15
2020-11-08,26
2020-11-15,37
2020-11-22,33
2020-11-29,28
2020-12-06,34
2020-12-13,30
2020-12-20,32
2020-12-27,35
2021-01-03,49
2021-01-10,39
2021-01-17,28
2021-01-24,29
2021-01-31,26
2021-02-07,27
2021-02-14,40
2021-02-21,37
2021-02-28,36
2021-03-07,40
2021-03-14,53
2021-03-21,32
2021-03-28,47
2021-04-04,37
2021-04-11,53
2021-04-18,35
2021-04-25,34
2021-05-02,37
2021-05-09,45
2021-05-16,39
2021-05-23,38
2021-05-30,57
2021-06-06,44
2021-06-13,38
2021-06-20,48
2021-06-27,37
2021-07-04,46
2021-07-11,40
2021-07-18,45
2021-07-25,43
2021-08-01,40
2021-08-08,39
2021-08-15,22
2021-08-22,48
2021-08-29,39
2021-09-05,38
2021-09-12,33
2021-09-19,39
2021-09-26,29
2021-10-03,40
2021-10-10,44
2021-10-17,43
2021-10-24,45
2021-10-31,31
2021-11-07,41
2021-11-14,27
2021-11-21,44
2021-11-28,33
2021-12-05,45
2021-12-12,17
2021-12-19,33
2021-12-26,38
2022-01-02,43
2022-01-09,31
2022-01-16,58
2022-01-23,57
2022-01-30,50
2022-02-06,58
2022-02-13,65
2022-02-20,56
2022-02-27,66
2022-03-06,68
2022-03-13,92
2022-03-20,66
2022-03-27,68
2022-04-03,53
2022-04-10,68
2022-04-17,64
2022-04-24,62
2022-05-01,48
2022-05-08,67
2022-05-15,67
2022-05-22,51
2022-05-29,65
2022-06-05,49
2022-06-12,56
2022-06-19,62
2022-06-26,71
2022-07-03,62
2022-07-10,75
2022-07-17,48
2022-07-24,46
2022-07-31,49
2022-08-07,55
2022-08-14,72
2022-08-21,58
2022-08-28,58
2022-09-04,70
2022-09-11,34
2022-09-18,64
2022-09-25,47
2022-10-02,55
2022-10-09,45
2022-10-16,46
2022-10-23,54
2022-10-30,56
2022-11-06,57
2022-11-13,56
