,VALUE
0,12500.0
1,11300.0
2,10500.0
3,13400.0
4,12600.0
5,15600.0
6,17300.0
7,18600.0
8,18400.0
9,19300.0
10,19200.0
11,1000.0
12,7700.0
13,43200.0
14,39400.0
15,37000.0
16,43600.0
17,37700.0
18,41600.0
19,46700.0
20,46500.0
21,43100.0
22,44500.0
23,49600.0
24,11300.0
25,34100.0
26,8000.0
27,7200.0
28,5900.0
29,6100.0
30,7100.0
31,11100.0
32,13400.0
33,17000.0
34,17900.0
35,22400.0
36,28400.0
37,6300.0
38,17700.0
39,48900.0
40,47900.0
41,45600.0
42,42600.0
43,48000.0
44,55000.0
45,59400.0
46,59000.0
47,62800.0
48,64700.0
49,66800.0
50,9800.0
51,39100.0
52,45300.0
53,43800.0
54,42200.0
55,43500.0
56,45500.0
57,48800.0
58,54300.0
59,59200.0
60,77500.0
61,82500.0
62,76900.0
63,5000.0
64,31600.0
65,24600.0
66,23000.0
67,20800.0
68,22600.0
69,21600.0
70,28800.0
71,32299.999999999996
72,33200.0
73,36400.0
74,40200.0
75,47200.0
76,3200.0
77,26100.0
78,68600.0
79,67200.0
80,67000.0
81,65000.0
82,68400.0
83,77700.0
84,92400.0
85,104000.0
86,108700.0
87,121300.0
88,119500.0
89,14700.0
90,88900.0
91,361500.0
92,368000.0
93,345400.0
94,325600.0
95,365500.0
96,392200.0
97,446000.0
98,484000.0
99,496200.0
100,491800.0
101,498700.0
102,15100.0
103,164700.0
104,51700.0
105,46000.0
106,44500.0
107,49500.0
108,52800.0
109,51500.0
110,59900.0
111,73200.0
112,79500.0
113,90500.0
114,92500.0
115,4100.0
116,34700.0
117,12300.0
118,12100.0
119,11700.0
120,11300.0
121,10700.0
122,12800.0
123,16800.0
124,15500.0
125,16200.0
126,17300.0
127,18000.0
128,1200.0
129,10900.0
130,24000.0
131,26600.0
132,25700.0
133,24800.0
134,28000.0
135,27700.0
136,46200.0
137,51100.0
138,57500.0
139,56200.0
140,57200.0
141,9200.0
142,26300.0
143,7600.0
144,9600.0
145,12500.0
146,21000.0
147,22800.0
148,31700.0
149,31200.0
150,32500.0
151,32100.0
152,29000.0
153,28500.0
154,3900.0
155,10300.0
156,14300.0
157,13000.0
158,12400.0
159,15000.0
160,14200.0
161,18500.0
162,20500.0
163,18800.0
164,19100.0
165,20000.0
166,19700.0
167,400.0
168,11900.0
169,35800.0
170,30400.0
171,27300.0
172,31100.0
173,30000.0
174,35000.0
175,38800.0
176,37200.0
177,33000.0
178,35600.0
179,41300.0
180,3800.0
181,29900.0
182,7700.0
183,7200.0
184,6200.0
185,6400.0
186,6100.0
187,11000.0
188,13700.0
189,15000.0
190,16300.0
191,20200.0
192,25800.0
193,1400.0
194,21800.0
195,49100.0
196,52800.0
197,45200.0
198,42500.0
199,47800.0
200,60600.0
201,59300.0
202,63500.0
203,60900.0
204,62800.0
205,64200.0
206,4700.0
207,52300.0
208,43900.0
209,41000.0
210,41800.0
211,42700.0
212,43900.0
213,51400.0
214,55900.0
215,56100.0
216,73300.0
217,81800.0
218,75700.0
219,1800.0
220,40900.0
221,26500.0
222,24400.0
223,22300.0
224,23500.0
225,22400.0
226,33300.0
227,34500.0
228,38200.0
229,37600.0
230,43900.0
231,43800.0
232,1100.0
233,33000.0
234,65900.0
235,63800.0
236,63000.0
237,59600.0
238,59800.0
239,71200.0
240,86500.0
241,90200.0
242,93900.0
243,107500.0
244,110100.0
245,5600.0
246,94100.0
247,419300.0
248,402100.0
249,403200.0
250,386800.0
251,422600.0
252,453900.0
253,519200.00000000006
254,514400.0
255,517299.99999999994
256,526800.0
257,532600.0
258,13200.0
259,318500.0
260,41500.0
261,39600.0
262,41100.0
263,41600.0
264,43300.0
265,43000.0
266,47400.0
267,59200.0
268,68800.0
269,76900.0
270,80900.0
271,2000.0
272,34500.0
273,12000.0
274,12500.0
275,11900.0
276,11200.0
277,11400.0
278,13400.0
279,15900.0
280,15200.0
281,16000.0
282,16900.0
283,17900.0
284,100.0
285,12200.0
286,23800.0
287,25800.0
288,26500.0
289,25100.0
290,28100.0
291,28600.0
292,45500.0
293,49100.0
294,54400.0
295,54900.0
296,56900.0
297,5200.0
298,39100.0
299,6500.0
300,7600.0
301,15000.0
302,17200.0
303,17600.0
304,22800.0
305,22200.0
306,24600.0
307,24800.0
308,21200.0
309,24500.0
310,4100.0
311,11100.0
312,16300.0
313,15900.0
314,15300.0
315,19600.0
316,17600.0
317,22000.0
318,19500.0
319,22500.0
320,20600.0
321,23300.0
322,8300.0
323,500.0
324,16500.0
325,39500.0
326,36500.0
327,31600.0
328,33600.0
329,32299.999999999996
330,38100.0
331,40200.0
332,42100.0
333,34000.0
334,40100.0
335,19100.0
336,4500.0
337,41100.0
338,9500.0
339,12700.0
340,10100.0
341,11000.0
342,8700.0
343,14300.0
344,20500.0
345,22300.0
346,20500.0
347,26100.0
348,15800.0
349,1300.0
350,32800.0
351,59300.0
352,58900.0
353,57800.0
354,70100.0
355,64900.00000000001
356,68400.0
357,73900.0
358,73300.0
359,70100.0
360,87800.0
361,32600.0
362,5100.0
363,64000.0
364,56900.0
365,53800.0
366,55100.0
367,61000.0
368,58800.0
369,68200.0
370,76600.0
371,75900.0
372,96600.0
373,104300.0
374,36100.0
375,2300.0
376,63700.0
377,30700.0
378,31300.0
379,29600.0
380,34100.0
381,29100.0
382,36000.0
383,42900.0
384,44000.0
385,44200.0
386,48600.0
387,5600.0
388,1400.0
389,48300.0
390,81000.0
391,87500.0
392,78400.0
393,85100.0
394,72800.0
395,91100.0
396,115100.0
397,118400.0
398,116400.0
399,137200.0
400,67600.0
401,5900.0
402,121600.0
403,518400.0
404,472400.0
405,478800.0
406,494400.0
407,484000.0
408,556900.0
409,637200.0
410,610100.0
411,593500.0
412,610200.0
413,272300.0
414,17500.0
415,426900.0
416,63000.0
417,63200.0
418,61000.0
419,67600.0
420,68900.0
421,68200.0
422,86500.0
423,99600.0
424,122900.0
425,133000.0
426,54400.0
427,2700.0
428,78400.0
429,13300.0
430,13300.0
431,14100.0
432,15200.0
433,14100.0
434,15900.0
435,20200.0
436,18300.0
437,19000.0
438,20500.0
439,8300.0
440,200.0
441,16800.0
442,28000.0
443,31200.0
444,30900.0
445,32299.999999999996
446,32900.0
447,32900.0
448,51300.0
449,58800.0
450,58400.0
451,63100.0
452,27200.0
453,5200.0
454,55300.0
455,7600.0
456,9000.0
457,17500.0
458,20900.0
459,22600.0
460,28800.0
461,29300.0
462,28900.0
463,31000.0
464,26300.0
465,19000.0
466,1800.0
467,14800.0
468,10200.0
469,15000.0
470,16500.0
471,18900.0
472,19400.0
473,25400.0
474,15700.0
475,22400.0
476,24000.0
477,22100.0
478,100.0
479,400.0
480,18700.0
481,33600.0
482,38900.0
483,40100.0
484,43500.0
485,35400.0
486,40800.0
487,45700.0
488,41900.0
489,42900.0
490,43100.0
491,100.0
492,4700.0
493,38900.0
494,18300.0
495,24500.0
496,28400.0
497,26600.0
498,32800.0
499,34300.0
500,37100.0
501,46300.0
502,52500.0
503,61100.0
504,200.0
505,1900.0
506,63800.0
507,74400.0
508,81400.0
509,88700.0
510,85200.0
511,99200.0
512,99100.0
513,94200.0
514,101900.0
515,105800.0
516,114600.0
517,600.0
518,4000.0
519,103200.0
520,44400.0
521,59600.0
522,64800.0
523,63000.0
524,75600.0
525,84500.0
526,84700.0
527,95000.0
528,108600.0
529,116800.0
530,600.0
531,3200.0
532,77100.0
533,30200.0
534,38100.0
535,44400.0
536,42300.0
537,44000.0
538,51500.0
539,52100.0
540,56400.0
541,64300.0
542,65700.0
543,0.0
544,800.0
545,75100.0
546,81100.0
547,117900.0
548,120000.0
549,121100.0
550,126400.0
551,134700.0
552,155900.0
553,172300.0
554,182300.0
555,195900.0
556,0.0
557,6300.0
558,197600.0
559,455300.0
560,538200.0
561,504500.0
562,467300.0
563,549500.0
564,573000.0
565,590800.0
566,653700.0
567,629300.0
568,661700.0
569,9300.0
570,21600.0
571,548300.0
572,59400.0
573,69600.0
574,71300.0
575,77700.0
576,85200.0
577,87100.0
578,99000.0
579,126100.0
580,149200.0
581,154500.0
582,1100.0
583,3300.0
584,110500.0
585,8600.0
586,11500.0
587,14600.0
588,14000.0
589,13500.0
590,16100.000000000002
591,18600.0
592,19300.0
593,20900.0
594,22200.0
595,0.0
596,500.0
597,17800.0
598,22400.0
599,31900.0
600,32900.0
601,35800.0
602,35900.0
603,37300.0
604,52900.0
605,59400.0
606,66200.0
607,63700.0
608,1200.0
609,7300.0
610,59300.0
611,8400.0
612,9800.0
613,18100.0
614,21800.0
615,23700.0
616,33300.0
617,30000.0
618,34100.0
619,35700.0
620,25900.0
621,100.0
622,700.0
623,15600.0
624,12200.0
625,15200.0
626,16000.0
627,19700.0
628,17700.0
629,23900.0
630,21100.0
631,21400.0
632,22000.0
633,21100.0
634,300.0
635,0.0
636,18500.0
637,41800.0
638,45300.0
639,39500.0
640,40100.0
641,38400.0
642,41300.0
643,46200.0
644,45200.0
645,42200.0
646,44200.0
647,100.0
648,6500.0
649,43300.0
650,30900.0
651,42000.0
652,31500.0
653,39100.0
654,42100.0
655,44200.0
656,53700.0
657,59600.0
658,63700.0
659,75000.0
660,700.0
661,2800.0
662,76800.0
663,87500.0
664,88300.0
665,83000.0
666,93200.0
667,97200.0
668,99600.0
669,102800.0
670,102400.0
671,106400.0
672,107400.0
673,1400.0
674,1500.0
675,107400.0
676,59100.0
677,66300.0
678,67800.0
679,73000.0
680,77500.0
681,91200.0
682,95400.0
683,95200.0
684,114800.0
685,113400.0
686,1400.0
687,3400.0
688,84700.0
689,38900.0
690,44000.0
691,42400.0
692,42600.0
693,46900.0
694,53600.0
695,58300.0
696,57000.0
697,63600.0
698,70400.0
699,0.0
700,800.0
701,77500.0
702,125700.0
703,139000.0
704,130900.0
705,142900.0
706,143800.0
707,154900.0
708,182400.0
709,184100.0
710,204000.0
