,Year,Month,Count,Country,average_high_celsius,daily_mean_celsius,average_low_celsius,average_precipitation_mm,average_precipitation_days,average_relative_hummidity,VALUE
0,2010,1,0,Belgium,17.5,8.1,5.3,2.4,−15.6,62.6,12500.0
1,2010,2,0,Belgium,18.1,8.3,5.3,2.3,−13.4,48.8,14300.0
2,2010,3,54,Belgium,23.4,10.2,6.8,3.4,−9.8,52.7,16300.0
3,2010,4,0,Belgium,22.7,12.1,8.3,4.6,−7.2,54.1,10200.0
4,2010,5,37,Belgium,26.8,14.8,10.9,6.9,−5.6,59.5,12200.0
5,2010,6,0,Belgium,28.7,17.6,13.6,9.6,−0.7,66.7,13400.0
6,2010,7,88,Belgium,33.1,19.5,15.6,11.7,1.8,56.2,15100.0
7,2010,8,0,Belgium,30.6,19.2,15.3,11.5,0.6,73.3,13900.0
8,2010,9,50,Belgium,27.6,17.0,13.4,9.8,−1.7,59.5,13100.0
9,2010,10,0,Belgium,24.2,13.6,10.5,7.3,−5.6,79.0,14100.0
10,2010,11,0,Belgium,19.4,10.3,7.4,4.5,−9.3,72.9,14800.0
11,2010,12,52,Belgium,17.1,8.3,5.6,2.8,−15.7,72.7,12300.0
12,2011,1,28,Belgium,17.5,8.1,5.3,2.4,−15.6,62.6,11300.0
13,2011,2,0,Belgium,18.1,8.3,5.3,2.3,−13.4,48.8,13000.0
14,2011,3,21,Belgium,23.4,10.2,6.8,3.4,−9.8,52.7,15900.0
15,2011,4,0,Belgium,22.7,12.1,8.3,4.6,−7.2,54.1,15000.0
16,2011,5,0,Belgium,26.8,14.8,10.9,6.9,−5.6,59.5,15200.0
17,2011,6,0,Belgium,28.7,17.6,13.6,9.6,−0.7,66.7,14600.0
18,2011,7,0,Belgium,33.1,19.5,15.6,11.7,1.8,56.2,16500.0
19,2011,8,0,Belgium,30.6,19.2,15.3,11.5,0.6,73.3,14500.0
20,2011,9,0,Belgium,27.6,17.0,13.4,9.8,−1.7,59.5,13600.0
21,2011,10,51,Belgium,24.2,13.6,10.5,7.3,−5.6,79.0,14300.0
22,2011,11,19,Belgium,19.4,10.3,7.4,4.5,−9.3,72.9,13100.0
23,2011,12,0,Belgium,17.1,8.3,5.6,2.8,−15.7,72.7,13500.0
24,2012,1,0,Belgium,17.5,8.1,5.3,2.4,−15.6,62.6,10500.0
25,2012,2,16,Belgium,18.1,8.3,5.3,2.3,−13.4,48.8,12400.0
26,2012,3,0,Belgium,23.4,10.2,6.8,3.4,−9.8,52.7,15300.0
27,2012,4,0,Belgium,22.7,12.1,8.3,4.6,−7.2,54.1,16500.0
28,2012,5,0,Belgium,26.8,14.8,10.9,6.9,−5.6,59.5,16000.0
29,2012,6,0,Belgium,28.7,17.6,13.6,9.6,−0.7,66.7,14700.0
30,2012,7,0,Belgium,33.1,19.5,15.6,11.7,1.8,56.2,17100.0
31,2012,8,21,Belgium,30.6,19.2,15.3,11.5,0.6,73.3,15300.0
32,2012,9,18,Belgium,27.6,17.0,13.4,9.8,−1.7,59.5,15700.0
33,2012,10,0,Belgium,24.2,13.6,10.5,7.3,−5.6,79.0,17000.0
34,2012,11,16,Belgium,19.4,10.3,7.4,4.5,−9.3,72.9,16300.0
35,2012,12,21,Belgium,17.1,8.3,5.6,2.8,−15.7,72.7,16800.0
36,2013,1,12,Belgium,17.5,8.1,5.3,2.4,−15.6,62.6,13400.0
37,2013,2,20,Belgium,18.1,8.3,5.3,2.3,−13.4,48.8,15000.0
38,2013,3,18,Belgium,23.4,10.2,6.8,3.4,−9.8,52.7,19600.0
39,2013,4,0,Belgium,22.7,12.1,8.3,4.6,−7.2,54.1,18900.0
40,2013,5,16,Belgium,26.8,14.8,10.9,6.9,−5.6,59.5,19700.0
41,2013,6,30,Belgium,28.7,17.6,13.6,9.6,−0.7,66.7,18300.0
42,2013,7,23,Belgium,33.1,19.5,15.6,11.7,1.8,56.2,19100.0
43,2013,8,45,Belgium,30.6,19.2,15.3,11.5,0.6,73.3,18000.0
44,2013,9,16,Belgium,27.6,17.0,13.4,9.8,−1.7,59.5,17200.0
45,2013,10,15,Belgium,24.2,13.6,10.5,7.3,−5.6,79.0,18800.0
46,2013,11,44,Belgium,19.4,10.3,7.4,4.5,−9.3,72.9,16100.000000000002
47,2013,12,0,Belgium,17.1,8.3,5.6,2.8,−15.7,72.7,17000.0
48,2014,1,0,Belgium,17.5,8.1,5.3,2.4,−15.6,62.6,12600.0
49,2014,2,0,Belgium,18.1,8.3,5.3,2.3,−13.4,48.8,14200.0
50,2014,3,0,Belgium,23.4,10.2,6.8,3.4,−9.8,52.7,17600.0
51,2014,4,0,Belgium,22.7,12.1,8.3,4.6,−7.2,54.1,19400.0
52,2014,5,25,Belgium,26.8,14.8,10.9,6.9,−5.6,59.5,17700.0
53,2014,6,22,Belgium,28.7,17.6,13.6,9.6,−0.7,66.7,16900.0
54,2014,7,0,Belgium,33.1,19.5,15.6,11.7,1.8,56.2,19200.0
55,2014,8,0,Belgium,30.6,19.2,15.3,11.5,0.6,73.3,16600.0
56,2014,9,42,Belgium,27.6,17.0,13.4,9.8,−1.7,59.5,17800.0
57,2014,10,15,Belgium,24.2,13.6,10.5,7.3,−5.6,79.0,19800.0
58,2014,11,0,Belgium,19.4,10.3,7.4,4.5,−9.3,72.9,19200.0
59,2014,12,0,Belgium,17.1,8.3,5.6,2.8,−15.7,72.7,19300.0
60,2015,1,0,Belgium,17.5,8.1,5.3,2.4,−15.6,62.6,15600.0
61,2015,2,0,Belgium,18.1,8.3,5.3,2.3,−13.4,48.8,18500.0
62,2015,3,22,Belgium,23.4,10.2,6.8,3.4,−9.8,52.7,22000.0
63,2015,4,20,Belgium,22.7,12.1,8.3,4.6,−7.2,54.1,25400.0
64,2015,5,19,Belgium,26.8,14.8,10.9,6.9,−5.6,59.5,23900.0
65,2015,6,42,Belgium,28.7,17.6,13.6,9.6,−0.7,66.7,24200.0
66,2015,7,0,Belgium,33.1,19.5,15.6,11.7,1.8,56.2,27100.0
67,2015,8,0,Belgium,30.6,19.2,15.3,11.5,0.6,73.3,23800.0
68,2015,9,0,Belgium,27.6,17.0,13.4,9.8,−1.7,59.5,24100.0
69,2015,10,0,Belgium,24.2,13.6,10.5,7.3,−5.6,79.0,25500.0
70,2015,11,33,Belgium,19.4,10.3,7.4,4.5,−9.3,72.9,21200.0
71,2015,12,50,Belgium,17.1,8.3,5.6,2.8,−15.7,72.7,19200.0
72,2016,1,15,Belgium,17.5,8.1,5.3,2.4,−15.6,62.6,17300.0
73,2016,2,14,Belgium,18.1,8.3,5.3,2.3,−13.4,48.8,20500.0
74,2016,3,27,Belgium,23.4,10.2,6.8,3.4,−9.8,52.7,19500.0
75,2016,4,44,Belgium,22.7,12.1,8.3,4.6,−7.2,54.1,15700.0
76,2016,5,17,Belgium,26.8,14.8,10.9,6.9,−5.6,59.5,21100.0
77,2016,6,0,Belgium,28.7,17.6,13.6,9.6,−0.7,66.7,22900.0
